Date_DD_MM_YY	Date_YYYY_MM_DD	Latitude	Longitude	Place	Value
26-Mar-69	19690326	-67.60269444	62.87380556	Mawson	40
27-Mar-69	19690327	-67.60269444	62.87380556	Mawson	110
30-Mar-69	19690330	-67.60269444	62.87380556	Mawson	1
14-Apr-69	19690414	-67.60269444	62.87380556	Mawson	1
15-Apr-69	19690415	-67.60269444	62.87380556	Mawson	100
19-Apr-69	19690419	-67.60269444	62.87380556	Mawson	230
22-Apr-69	19690422	-67.60269444	62.87380556	Mawson	304
23-Apr-69	19690423	-67.60269444	62.87380556	Mawson	332
24-Apr-69	19690424	-67.60269444	62.87380556	Mawson	357
26-Apr-69	19690426	-67.60269444	62.87380556	Mawson	395
28-Apr-69	19690428	-67.60269444	62.87380556	Mawson	434
29-Apr-69	19690429	-67.60269444	62.87380556	Mawson	453
6-May-69	19690506	-67.60269444	62.87380556	Mawson	543
8-May-69	19690508	-67.60269444	62.87380556	Mawson	560
14-May-69	19690514	-67.60269444	62.87380556	Mawson	587
16-May-69	19690516	-67.60269444	62.87380556	Mawson	611
21-May-69	19690521	-67.60269444	62.87380556	Mawson	636
22-May-69	19690522	-67.60269444	62.87380556	Mawson	643
26-May-69	19690526	-67.60269444	62.87380556	Mawson	670
28-May-69	19690528	-67.60269444	62.87380556	Mawson	685
2-Jun-69	19690602	-67.60269444	62.87380556	Mawson	717
3-Jun-69	19690603	-67.60269444	62.87380556	Mawson	736
7-Jun-69	19690607	-67.60269444	62.87380556	Mawson	761
9-Jun-69	19690609	-67.60269444	62.87380556	Mawson	784
11-Jun-69	19690611	-67.60269444	62.87380556	Mawson	782
12-Jun-69	19690612	-67.60269444	62.87380556	Mawson	786
13-Jun-69	19690613	-67.60269444	62.87380556	Mawson	793
17-Jun-69	19690617	-67.60269444	62.87380556	Mawson	826
18-Jun-69	19690618	-67.60269444	62.87380556	Mawson	823
19-Jun-69	19690619	-67.60269444	62.87380556	Mawson	827
20-Jun-69	19690620	-67.60269444	62.87380556	Mawson	840
23-Jun-69	19690623	-67.60269444	62.87380556	Mawson	865
27-Jun-69	19690627	-67.60269444	62.87380556	Mawson	881
30-Jun-69	19690630	-67.60269444	62.87380556	Mawson	914
1-Jul-69	19690701	-67.60269444	62.87380556	Mawson	926
3-Jul-69	19690703	-67.60269444	62.87380556	Mawson	936
4-Jul-69	19690704	-67.60269444	62.87380556	Mawson	954
5-Jul-69	19690705	-67.60269444	62.87380556	Mawson	956
7-Jul-69	19690707	-67.60269444	62.87380556	Mawson	974
8-Jul-69	19690708	-67.60269444	62.87380556	Mawson	970
9-Jul-69	19690709	-67.60269444	62.87380556	Mawson	982
11-Jul-69	19690711	-67.60269444	62.87380556	Mawson	992
